fecha_completa;dia;mes;anio
1989,8 de diciembre,Inmaculada Concepción,Viernes;8;12;1989
1989,25 de diciembre,Navidad,Lunes;25;12;1989
1990,1 de enero,Año Nuevo,Lunes;1;1;1990
1990,8 de enero,Epifanía,Lunes;8;1;1990
1990,19 de marzo,Día de San José,Lunes;19;3;1990
1990,12 de abril,Jueves Santo,Jueves;12;4;1990
1990,13 de abril,Viernes Santo,Viernes;13;4;1990
1990,1 de mayo,Día del trabajo,Martes;1;5;1990
1990,28 de mayo,Ascención de Jesús,Lunes;28;5;1990
1990,18 de junio,Corpus Christi,Lunes;18;6;1990
1990,25 de junio,Sagrado Corazón de Jesús,Lunes;25;6;1990
1990,2 de julio,San Pedro y San Pablo,Lunes;2;7;1990
1990,20 de julio,Día de la independencia,Viernes;20;7;1990
1990,7 de agosto,Batalla de Boyacá,Martes;7;8;1990
1990,20 de agosto,Asunción de la Virgen,Lunes;20;8;1990
1990,15 de octubre,Día de la raza,Lunes;15;10;1990
1990,5 de noviembre,Todos los Santos,Lunes;5;11;1990
1990,12 de noviembre,Independencia de Cartagena,Lunes;12;11;1990
1990,8 de diciembre,Inmaculada Concepción,Sábado;8;12;1990
1990,25 de diciembre,Navidad,Martes;25;12;1990
1991,1 de enero,Año Nuevo,Martes;1;1;1991
1991,7 de enero,Epifanía,Lunes;7;1;1991
1991,25 de marzo,Día de San José,Lunes;25;3;1991
1991,28 de marzo,Jueves Santo,Jueves;28;3;1991
1991,29 de marzo,Viernes Santo,Viernes;29;3;1991
1991,1 de mayo,Día del trabajo,Miércoles;1;5;1991
1991,13 de mayo,Ascención de Jesús,Lunes;13;5;1991
1991,3 de junio,Corpus Christi,Lunes;3;6;1991
1991,10 de junio,Sagrado Corazón de Jesús,Lunes;10;6;1991
1991,1 de julio,San Pedro y San Pablo,Lunes;1;7;1991
1991,20 de julio,Día de la independencia,Sábado;20;7;1991
1991,7 de agosto,Batalla de Boyacá,Miércoles;7;8;1991
1991,19 de agosto,Asunción de la Virgen,Lunes;19;8;1991
1991,14 de octubre,Día de la raza,Lunes;14;10;1991
1991,4 de noviembre,Todos los Santos,Lunes;4;11;1991
1991,11 de noviembre,Independencia de Cartagena,Lunes;11;11;1991
1991,8 de diciembre,Inmaculada Concepción,Domingo;8;12;1991
1991,25 de diciembre,Navidad,Miércoles;25;12;1991
1992,1 de enero,Año Nuevo,Miércoles;1;1;1992
1992,6 de enero,Epifanía,Lunes;6;1;1992
1992,23 de marzo,Día de San José,Lunes;23;3;1992
1992,16 de abril,Jueves Santo,Jueves;16;4;1992
1992,17 de abril,Viernes Santo,Viernes;17;4;1992
1992,1 de mayo,Día del trabajo,Viernes;1;5;1992
1992,1 de junio,Ascención de Jesús,Lunes;1;6;1992
1992,22 de junio,Corpus Christi,Lunes;22;6;1992
1992,29 de junio,San Pedro y San Pablo,Lunes;29;6;1992
1992,29 de junio,Sagrado Corazón de Jesús,Lunes;29;6;1992
1992,20 de julio,Día de la independencia,Lunes;20;7;1992
1992,7 de agosto,Batalla de Boyacá,Viernes;7;8;1992
1992,17 de agosto,Asunción de la Virgen,Lunes;17;8;1992
1992,12 de octubre,Día de la raza,Lunes;12;10;1992
1992,2 de noviembre,Todos los Santos,Lunes;2;11;1992
1992,16 de noviembre,Independencia de Cartagena,Lunes;16;11;1992
1992,8 de diciembre,Inmaculada Concepción,Martes;8;12;1992
1992,25 de diciembre,Navidad,Viernes;25;12;1992
1993,1 de enero,Año Nuevo,Viernes;1;1;1993
1993,11 de enero,Epifanía,Lunes;11;1;1993
1993,22 de marzo,Día de San José,Lunes;22;3;1993
1993,8 de abril,Jueves Santo,Jueves;8;4;1993
1993,9 de abril,Viernes Santo,Viernes;9;4;1993
1993,1 de mayo,Día del trabajo,Sábado;1;5;1993
1993,24 de mayo,Ascención de Jesús,Lunes;24;5;1993
1993,14 de junio,Corpus Christi,Lunes;14;6;1993
1993,21 de junio,Sagrado Corazón de Jesús,Lunes;21;6;1993
1993,5 de julio,San Pedro y San Pablo,Lunes;5;7;1993
1993,20 de julio,Día de la independencia,Martes;20;7;1993
1993,7 de agosto,Batalla de Boyacá,Sábado;7;8;1993
1993,16 de agosto,Asunción de la Virgen,Lunes;16;8;1993
1993,18 de octubre,Día de la raza,Lunes;18;10;1993
1993,1 de noviembre,Todos los Santos,Lunes;1;11;1993
1993,15 de noviembre,Independencia de Cartagena,Lunes;15;11;1993
1993,8 de diciembre,Inmaculada Concepción,Miércoles;8;12;1993
1993,25 de diciembre,Navidad,Sábado;25;12;1993
