fecha_completa;dia;mes;anio
2009,12 de enero,Epifanía,Lunes;12;1;2009
2009,23 de marzo,Día de San José,Lunes;23;3;2009
2009,9 de abril,Jueves Santo,Jueves;9;4;2009
2009,10 de abril,Viernes Santo,Viernes;10;4;2009
2009,1 de mayo,Día del trabajo,Viernes;1;5;2009
2009,25 de mayo,Ascención de Jesús,Lunes;25;5;2009
2009,15 de junio,Corpus Christi,Lunes;15;6;2009
2009,22 de junio,Sagrado Corazón de Jesús,Lunes;22;6;2009
2009,29 de junio,San Pedro y San Pablo,Lunes;29;6;2009
2009,20 de julio,Día de la independencia,Lunes;20;7;2009
2009,7 de agosto,Batalla de Boyacá,Viernes;7;8;2009
2009,17 de agosto,Asunción de la Virgen,Lunes;17;8;2009
2009,12 de octubre,Día de la raza,Lunes;12;10;2009
2009,2 de noviembre,Todos los Santos,Lunes;2;11;2009
2009,16 de noviembre,Independencia de Cartagena,Lunes;16;11;2009
2009,8 de diciembre,Inmaculada Concepción,Martes;8;12;2009
2009,25 de diciembre,Navidad,Viernes;25;12;2009
2010,1 de enero,Año Nuevo,Viernes;1;1;2010
2010,11 de enero,Epifanía,Lunes;11;1;2010
2010,22 de marzo,Día de San José,Lunes;22;3;2010
2010,1 de abril,Jueves Santo,Jueves;1;4;2010
2010,2 de abril,Viernes Santo,Viernes;2;4;2010
2010,1 de mayo,Día del trabajo,Sábado;1;5;2010
2010,17 de mayo,Ascención de Jesús,Lunes;17;5;2010
2010,7 de junio,Corpus Christi,Lunes;7;6;2010
2010,14 de junio,Sagrado Corazón de Jesús,Lunes;14;6;2010
2010,5 de julio,San Pedro y San Pablo,Lunes;5;7;2010
2010,20 de julio,Día de la independencia,Martes;20;7;2010
2010,7 de agosto,Batalla de Boyacá,Sábado;7;8;2010
2010,16 de agosto,Asunción de la Virgen,Lunes;16;8;2010
2010,18 de octubre,Día de la raza,Lunes;18;10;2010
2010,1 de noviembre,Todos los Santos,Lunes;1;11;2010
2010,15 de noviembre,Independencia de Cartagena,Lunes;15;11;2010
2010,8 de diciembre,Inmaculada Concepción,Miércoles;8;12;2010
2010,25 de diciembre,Navidad,Sábado;25;12;2010
2011,1 de enero,Año Nuevo,Sábado;1;1;2011
2011,10 de enero,Epifanía,Lunes;10;1;2011
2011,21 de marzo,Día de San José,Lunes;21;3;2011
2011,21 de abril,Jueves Santo,Jueves;21;4;2011
2011,22 de abril,Viernes Santo,Viernes;22;4;2011
2011,1 de mayo,Día del trabajo,Domingo;1;5;2011
2011,6 de junio,Ascención de Jesús,Lunes;6;6;2011
2011,27 de junio,Corpus Christi,Lunes;27;6;2011
2011,4 de julio,San Pedro y San Pablo,Lunes;4;7;2011
2011,4 de julio,Sagrado Corazón de Jesús,Lunes;4;7;2011
2011,20 de julio,Día de la independencia,Miércoles;20;7;2011
2011,7 de agosto,Batalla de Boyacá,Domingo;7;8;2011
2011,15 de agosto,Asunción de la Virgen,Lunes;15;8;2011
2011,17 de octubre,Día de la raza,Lunes;17;10;2011
2011,7 de noviembre,Todos los Santos,Lunes;7;11;2011
2011,14 de noviembre,Independencia de Cartagena,Lunes;14;11;2011
2011,8 de diciembre,Inmaculada Concepción,Jueves;8;12;2011
2011,25 de diciembre,Navidad,Domingo;25;12;2011
2012,1 de enero,Año Nuevo,Domingo;1;1;2012
2012,9 de enero,Epifanía,Lunes;9;1;2012
2012,19 de marzo,Día de San José,Lunes;19;3;2012
2012,5 de abril,Jueves Santo,Jueves;5;4;2012
2012,6 de abril,Viernes Santo,Viernes;6;4;2012
2012,1 de mayo,Día del trabajo,Martes;1;5;2012
2012,21 de mayo,Ascención de Jesús,Lunes;21;5;2012
2012,11 de junio,Corpus Christi,Lunes;11;6;2012
2012,18 de junio,Sagrado Corazón de Jesús,Lunes;18;6;2012
2012,2 de julio,San Pedro y San Pablo,Lunes;2;7;2012
2012,20 de julio,Día de la independencia,Viernes;20;7;2012
2012,7 de agosto,Batalla de Boyacá,Martes;7;8;2012
2012,20 de agosto,Asunción de la Virgen,Lunes;20;8;2012
2012,15 de octubre,Día de la raza,Lunes;15;10;2012
2012,5 de noviembre,Todos los Santos,Lunes;5;11;2012
2012,12 de noviembre,Independencia de Cartagena,Lunes;12;11;2012
2012,8 de diciembre,Inmaculada Concepción,Sábado;8;12;2012
2012,25 de diciembre,Navidad,Martes;25;12;2012
2013,1 de enero,Año Nuevo,Martes;1;1;2013
2013,7 de enero,Epifanía,Lunes;7;1;2013
2013,25 de marzo,Día de San José,Lunes;25;3;2013
2013,28 de marzo,Jueves Santo,Jueves;28;3;2013
2013,29 de marzo,Viernes Santo,Viernes;29;3;2013
2013,1 de mayo,Día del trabajo,Miércoles;1;5;2013
2013,13 de mayo,Ascención de Jesús,Lunes;13;5;2013
2013,3 de junio,Corpus Christi,Lunes;3;6;2013
2013,10 de junio,Sagrado Corazón de Jesús,Lunes;10;6;2013
2013,1 de julio,San Pedro y San Pablo,Lunes;1;7;2013
2013,20 de julio,Día de la independencia,Sábado;20;7;2013
2013,7 de agosto,Batalla de Boyacá,Miércoles;7;8;2013
2013,19 de agosto,Asunción de la Virgen,Lunes;19;8;2013
2013,14 de octubre,Día de la raza,Lunes;14;10;2013
2013,4 de noviembre,Todos los Santos,Lunes;4;11;2013
2013,11 de noviembre,Independencia de Cartagena,Lunes;11;11;2013
2013,8 de diciembre,Inmaculada Concepción,Domingo;8;12;2013
2013,25 de diciembre,Navidad,Miércoles;25;12;2013
2014,1 de enero,Año Nuevo,Miércoles;1;1;2014
2014,6 de enero,Epifanía,Lunes;6;1;2014
2014,24 de marzo,Día de San José,Lunes;24;3;2014
2014,17 de abril,Jueves Santo,Jueves;17;4;2014
2014,18 de abril,Viernes Santo,Viernes;18;4;2014
2014,1 de mayo,Día del trabajo,Jueves;1;5;2014
2014,2 de junio,Ascención de Jesús,Lunes;2;6;2014
2014,23 de junio,Corpus Christi,Lunes;23;6;2014
2014,30 de junio,San Pedro y San Pablo,Lunes;30;6;2014
2014,30 de junio,Sagrado Corazón de Jesús,Lunes;30;6;2014
2014,20 de julio,Día de la independencia,Domingo;20;7;2014
2014,7 de agosto,Batalla de Boyacá,Jueves;7;8;2014
2014,18 de agosto,Asunción de la Virgen,Lunes;18;8;2014
2014,13 de octubre,Día de la raza,Lunes;13;10;2014
2014,3 de noviembre,Todos los Santos,Lunes;3;11;2014
2014,17 de noviembre,Independencia de Cartagena,Lunes;17;11;2014
2014,8 de diciembre,Inmaculada Concepción,Lunes;8;12;2014
2014,25 de diciembre,Navidad,Jueves;25;12;2014
2015,1 de enero,Año Nuevo,Jueves;1;1;2015
2015,12 de enero,Epifanía,Lunes;12;1;2015
2015,23 de marzo,Día de San José,Lunes;23;3;2015
2015,2 de abril,Jueves Santo,Jueves;2;4;2015
2015,3 de abril,Viernes Santo,Viernes;3;4;2015
2015,1 de mayo,Día del trabajo,Viernes;1;5;2015
2015,18 de mayo,Ascención de Jesús,Lunes;18;5;2015
2015,8 de junio,Corpus Christi,Lunes;8;6;2015
2015,15 de junio,Sagrado Corazón de Jesús,Lunes;15;6;2015
2015,29 de junio,San Pedro y San Pablo,Lunes;29;6;2015
2015,20 de julio,Día de la independencia,Lunes;20;7;2015
2015,7 de agosto,Batalla de Boyacá,Viernes;7;8;2015
2015,17 de agosto,Asunción de la Virgen,Lunes;17;8;2015
2015,12 de octubre,Día de la raza,Lunes;12;10;2015
2015,2 de noviembre,Todos los Santos,Lunes;2;11;2015
2015,16 de noviembre,Independencia de Cartagena,Lunes;16;11;2015
2015,8 de diciembre,Inmaculada Concepción,Martes;8;12;2015
2015,25 de diciembre,Navidad,Viernes;25;12;2015
2016,1 de enero,Año Nuevo,Viernes;1;1;2016
2016,11 de enero,Epifanía,Lunes;11;1;2016
2016,21 de marzo,Día de San José,Lunes;21;3;2016
2016,24 de marzo,Jueves Santo,Jueves;24;3;2016
2016,25 de marzo,Viernes Santo,Viernes;25;3;2016
2016,1 de mayo,Día del trabajo,Domingo;1;5;2016
2016,9 de mayo,Ascención de Jesús,Lunes;9;5;2016
2016,30 de mayo,Corpus Christi,Lunes;30;5;2016
2016,6 de junio,Sagrado Corazón de Jesús,Lunes;6;6;2016
2016,4 de julio,San Pedro y San Pablo,Lunes;4;7;2016
2016,20 de julio,Día de la independencia,Miércoles;20;7;2016
2016,7 de agosto,Batalla de Boyacá,Domingo;7;8;2016
2016,15 de agosto,Asunción de la Virgen,Lunes;15;8;2016
2016,17 de octubre,Día de la raza,Lunes;17;10;2016
2016,7 de noviembre,Todos los Santos,Lunes;7;11;2016
2016,14 de noviembre,Independencia de Cartagena,Lunes;14;11;2016
2016,8 de diciembre,Inmaculada Concepción,Jueves;8;12;2016
2016,25 de diciembre,Navidad,Domingo;25;12;2016
2017,1 de enero,Año Nuevo,Domingo;1;1;2017
2017,9 de enero,Epifanía,Lunes;9;1;2017
2017,20 de marzo,Día de San José,Lunes;20;3;2017
2017,13 de abril,Jueves Santo,Jueves;13;4;2017
2017,14 de abril,Viernes Santo,Viernes;14;4;2017
2017,1 de mayo,Día del trabajo,Lunes;1;5;2017
2017,29 de mayo,Ascención de Jesús,Lunes;29;5;2017
2017,19 de junio,Corpus Christi,Lunes;19;6;2017
2017,26 de junio,Sagrado Corazón de Jesús,Lunes;26;6;2017
2017,3 de julio,San Pedro y San Pablo,Lunes;3;7;2017
2017,20 de julio,Día de la independencia,Jueves;20;7;2017
2017,7 de agosto,Batalla de Boyacá,Lunes;7;8;2017
2017,21 de agosto,Asunción de la Virgen,Lunes;21;8;2017
2017,16 de octubre,Día de la raza,Lunes;16;10;2017
2017,6 de noviembre,Todos los Santos,Lunes;6;11;2017
2017,13 de noviembre,Independencia de Cartagena,Lunes;13;11;2017
2017,8 de diciembre,Inmaculada Concepción,Viernes;8;12;2017
2017,25 de diciembre,Navidad,Lunes;25;12;2017
2018,1 de enero,Año Nuevo,Lunes;1;1;2018
2018,8 de enero,Epifanía,Lunes;8;1;2018
2018,19 de marzo,Día de San José,Lunes;19;3;2018
2018,29 de marzo,Jueves Santo,Jueves;29;3;2018
2018,30 de marzo,Viernes Santo,Viernes;30;3;2018
2018,1 de mayo,Día del trabajo,Martes;1;5;2018
2018,14 de mayo,Ascención de Jesús,Lunes;14;5;2018
2018,4 de junio,Corpus Christi,Lunes;4;6;2018
2018,11 de junio,Sagrado Corazón de Jesús,Lunes;11;6;2018
2018,2 de julio,San Pedro y San Pablo,Lunes;2;7;2018
2018,20 de julio,Día de la independencia,Viernes;20;7;2018
2018,7 de agosto,Batalla de Boyacá,Martes;7;8;2018
2018,20 de agosto,Asunción de la Virgen,Lunes;20;8;2018
2018,15 de octubre,Día de la raza,Lunes;15;10;2018
2018,5 de noviembre,Todos los Santos,Lunes;5;11;2018
2018,12 de noviembre,Independencia de Cartagena,Lunes;12;11;2018
2018,8 de diciembre,Inmaculada Concepción,Sábado;8;12;2018
2018,25 de diciembre,Navidad,Martes;25;12;2018
2019,1 de enero,Año Nuevo,Martes;1;1;2019
2019,7 de enero,Epifanía,Lunes;7;1;2019
2019,25 de marzo,Día de San José,Lunes;25;3;2019
2019,18 de abril,Jueves Santo,Jueves;18;4;2019
2019,19 de abril,Viernes Santo,Viernes;19;4;2019
2019,1 de mayo,Día del trabajo,Miércoles;1;5;2019
2019,3 de junio,Ascención de Jesús,Lunes;3;6;2019
2019,24 de junio,Corpus Christi,Lunes;24;6;2019
2019,1 de julio,San Pedro y San Pablo,Lunes;1;7;2019
2019,1 de julio,Sagrado Corazón de Jesús,Lunes;1;7;2019
2019,20 de julio,Día de la independencia,Sábado;20;7;2019
2019,7 de agosto,Batalla de Boyacá,Miércoles;7;8;2019
2019,19 de agosto,Asunción de la Virgen,Lunes;19;8;2019
2019,14 de octubre,Día de la raza,Lunes;14;10;2019
2019,4 de noviembre,Todos los Santos,Lunes;4;11;2019
2019,11 de noviembre,Independencia de Cartagena,Lunes;11;11;2019
2019,8 de diciembre,Inmaculada Concepción,Domingo;8;12;2019
2019,25 de diciembre,Navidad,Miércoles;25;12;2019
2020,1 de enero,Año Nuevo,Miércoles;1;1;2020
2020,6 de enero,Epifanía,Lunes;6;1;2020
2020,23 de marzo,Día de San José,Lunes;23;3;2020
2020,9 de abril,Jueves Santo,Jueves;9;4;2020
2020,10 de abril,Viernes Santo,Viernes;10;4;2020
2020,1 de mayo,Día del trabajo,Viernes;1;5;2020
2020,25 de mayo,Ascención de Jesús,Lunes;25;5;2020
2020,15 de junio,Corpus Christi,Lunes;15;6;2020
2020,22 de junio,Sagrado Corazón de Jesús,Lunes;22;6;2020
2020,29 de junio,San Pedro y San Pablo,Lunes;29;6;2020
2020,20 de julio,Día de la independencia,Lunes;20;7;2020
2020,7 de agosto,Batalla de Boyacá,Viernes;7;8;2020
2020,17 de agosto,Asunción de la Virgen,Lunes;17;8;2020
2020,12 de octubre,Día de la raza,Lunes;12;10;2020
2020,2 de noviembre,Todos los Santos,Lunes;2;11;2020
2020,16 de noviembre,Independencia de Cartagena,Lunes;16;11;2020
2020,8 de diciembre,Inmaculada Concepción,Martes;8;12;2020
2020,25 de diciembre,Navidad,Viernes;25;12;2020
2021,1 de enero,Año Nuevo,Viernes;1;1;2021
2021,11 de enero,Epifanía,Lunes;11;1;2021
2021,22 de marzo,Día de San José,Lunes;22;3;2021
2021,1 de abril,Jueves Santo,Jueves;1;4;2021
2021,2 de abril,Viernes Santo,Viernes;2;4;2021
2021,1 de mayo,Día del trabajo,Sábado;1;5;2021
2021,17 de mayo,Ascención de Jesús,Lunes;17;5;2021
2021,7 de junio,Corpus Christi,Lunes;7;6;2021
2021,14 de junio,Sagrado Corazón de Jesús,Lunes;14;6;2021
2021,5 de julio,San Pedro y San Pablo,Lunes;5;7;2021
2021,20 de julio,Día de la independencia,Martes;20;7;2021
2021,7 de agosto,Batalla de Boyacá,Sábado;7;8;2021
2021,16 de agosto,Asunción de la Virgen,Lunes;16;8;2021
2021,18 de octubre,Día de la raza,Lunes;18;10;2021
2021,1 de noviembre,Todos los Santos,Lunes;1;11;2021
2021,15 de noviembre,Independencia de Cartagena,Lunes;15;11;2021
2021,8 de diciembre,Inmaculada Concepción,Miércoles;8;12;2021
2021,25 de diciembre,Navidad,Sábado;25;12;2021
